"...He Rides Well...";Action;Slash/Dagger,Punch;Unique;Scarlet Seas (Rare);0
"...No Barter...";Action;Dagger/Punch,Thrust;;Shifting Tides (Uncommon);0
"...No Quarter!";Action;Dagger/Punch,Thrust;;Shifting Tides (Rare);0
"...and He Makes Witty Repartee";Action;Dagger/Punch,Thrust;Unique;Scarlet Seas (Rare);0
"...and One for All";Action;Dagger/Punch,Thrust;;Scarlet Seas (Common)/Fate's Debt (Fixed);0
"Again, Boys!";Action;Dagger/Punch,Thrust;;No Quarter (Rare)/Broadsides (Rare);0
"All Hands on Deck!";Action;Dagger/Punch,Thrust;;Reaper's Fee (Uncommon);0
"Allow Me...";Action;Dagger/Punch,Thrust;;Shifting Tides (Uncommon);0
"Arm Yourselves!";Action;Dagger/Punch,Thrust;;Reaper's Fee (Uncommon);0
"Beat You To It!";Action;Dagger/Punch,Thrust;;Shifting Tides (Rare)/Iron Shadow (Uncommon);0
"Brace Yourselves!";Action;Slash/Dagger,Punch;;Reaper's Fee (Uncommon);0
"Brother" Mattias Brewer;Crew;Sea Dogs;Punch/Club,Thrust;4 Influence;0 Can/0 Sail/3 Adv/1 Inf/2 Swash;Heroic;Shifting Tides (Uncommon)/Iron Shadow (Fixed);0
"Butcher" Pinchot;Crew;Crimson Rogers;Punch/Club,Thrust;4 Influence;1 Can/0 Sail/0 Adv/1 Inf/1 Swash;Unique/Loyal/Villainous;Scarlet Seas (Uncommon)/Iron Shadow (Uncommon);0
"By the Gods...";Attachment;;Club/Dagger,Slash;Oath;Scarlet Seas (Rare);0
"Captain";Attachment;Sea Dogs;Club/Dagger,Slash;Unique/Pet;Shifting Tides (Rare)/Iron Shadow (Fixed);0
"Cat's Claw" Fornier;Crew;Black Freighter;Punch/Club,Thrust;3 Influence;0 Can/2 Sail/0 Adv/0 Inf/1 Swash;Loyal/No Attachments/Skeletal;Reaper's Fee (Uncommon);0
"Cut a Path!";Action;Dagger/Punch,Thrust;;Fate's Debt (Uncommon);0
"Cut the Ropes!";Action;Dagger/Punch,Thrust;;No Quarter (Common)/Broadsides (Common);0
"Don't Make Me Ask Again";Action;Dagger/Punch,Thrust;;Scarlet Seas (Rare);0
"Don't Mess With Me, Boy!";Action;Slash/Dagger,Punch;;Shifting Tides (Rare);0
"Fire as She Passes!";Action;Dagger/Punch,Thrust;;Fate's Debt (Common)/Iron Shadow (Fixed);0
"Fire the Chase Guns!";Action;Slash/Dagger,Punch;;No Quarter (Rare)/Broadsides (Rare)/Iron Shadow (Fixed);0
"Have at 'em Boys!";Attachment;;Club/Dagger,Slash;Captain;Fate's Debt (Common);0
"He Fights Well...";Action;Dagger/Punch,Thrust;Unique;Scarlet Seas (Rare);0
"Heave To!";Action;Dagger/Punch,Thrust;;Fate's Debt (Common)/Fate's Debt (Uncommon);0
"I'll Be Taking That…";Action;Slash/Dagger,Punch;;Strange Vistas (Uncommon);0
"I'm Not Left-Handed";Action;Dagger/Punch,Thrust;Unique/Swordsman 2/Knack;Scarlet Seas (Rare);0
