# Card Name;Faction;Type;Traits;Set;Influence;Eternal Points;Max playset
Noise: Hacker Extraordinaire;Anarch;Identity;G-mod;Core Set;0;0;1
Déjà Vu;Anarch;Event;;Core Set;2;1;3
Demolition Run;Anarch;Event;Run/Sabotage;Core Set;2;0;3
Stimhack;Anarch;Event;Run;Core Set;1;0;3
Cyberfeeder;Anarch;Hardware;Chip;Core Set;1;0;3
Grimoire;Anarch;Hardware;Console;Core Set;2;0;3
Corroder;Anarch;Program;Icebreaker/Fracter;Core Set;2;0;3
Datasucker;Anarch;Program;Virus;Core Set;1;0;3
Djinn;Anarch;Program;Daemon;Core Set;2;0;3
Medium;Anarch;Program;Virus;Core Set;3;0;3
Mimic;Anarch;Program;Icebreaker/Killer;Core Set;1;0;3
Parasite;Anarch;Program;Virus;Core Set;2;0;3
Wyrm;Anarch;Program;Icebreaker/AI;Core Set;2;0;3
Yog.0;Anarch;Program;Icebreaker/Decoder;Core Set;1;0;3
Ice Carver;Anarch;Resource;Virtual;Core Set;3;0;3
Wyldside;Anarch;Resource;Location/Seedy;Core Set;3;0;3
Gabriel Santiago: Consummate Professional;Criminal;Identity;Cyborg;Core Set;0;0;1
Account Siphon;Criminal;Event;Run/Sabotage;Core Set;4;3;3
Easy Mark;Criminal;Event;Job;Core Set;1;0;3
Forged Activation Orders;Criminal;Event;Sabotage;Core Set;2;0;3
Inside Job;Criminal;Event;Run;Core Set;3;0;3
Special Order;Criminal;Event;;Core Set;2;0;3
Lemuria Codecracker;Criminal;Hardware;;Core Set;1;0;3
Desperado;Criminal;Hardware;Console;Core Set;3;0;3
Aurora;Criminal;Program;Icebreaker/Fracter;Core Set;1;0;3
Femme Fatale;Criminal;Program;Icebreaker/Kiler;Core Set;1;0;3
Ninja;Criminal;Program;Icebreaker/Killer;Core Set;2;0;3
Sneakdoor Beta;Criminal;Program;;3;0;3
Bank Job;Criminal;Resource;Job;2;0;3
Crash Space;Criminal;Resource;Location;2;0;3
Data Dealer;Criminal;Resource;Connection/Seedy;2;0;3
Decoy;Criminal;Resource;Connection;2;0;3
Kate "Mac" McCaffrey: Digital Tinker;Shaper;Identity;Natural;Core Set;0;0;1
Diesel;Shaper;Event;;Core Set;2;0;3
Modded;Shaper;Event;Mod;Core Set;2;0;3
The Maker's Eye;Shaper;Event;Run;Core Set;2;0;3
Tinkering;Shaper;Event;Mod;Core Set;4;0;3
Akamatsu Mem Chip;Shaper;Hardware;Chip;Core Set;1;0;3
Rabbit Hole;Shaper;Hardware;Link;Core Set;1;0;3
The Personal Touch;Shaper;Hardware;Mod;Core Set;2;0;3
The Toolbox;Shaper;Hardware;Console;Core Set;2;0;3
Battering Ram;Shaper;Program;Icebreaker/Fracter;Core Set;2;0;3
Gordian Blade;Shaper;Program;Icebreaker/Decoder;Core Set;3;0;3
Magnum Opus;Shaper;Program;;Core Set;2;0;3
Net Shield;Shaper;Program;;Core Set;1;0;3
Pipeline;Shaper;Program;Icebreaker/Killer;Core Set;1;0;3
Aesop's Pawnshop;Shaper;Resource;Connection/Location;Core Set;2;0;3
Sacrificial Construct;Shaper;Resource;Remote;Core Set;1;0;3
Infiltration;Runner Neutral;Event;;Core Set;0;0;3
Sure Gamble;Runner Neutral;Event;;Core Set;0;0;3
Crypsis;Runner Neutral;Program;Icebreaker/AI/Virus;Core Set;0;0;3
Access to Globalsec;Runner Neutral;Resource;Link;Core Set;0;0;3
Armitage Codebusting;Runner Neutral;Resource;Job;Core Set;0;0;3
Haas-Bioroid: Engineering the Future;HB;Identity;Megacorp;Core Set;0;0;1
Accelerated Beta Test;HB;Agenda;Research;Core Set;0;0;3
Adonis Campaign;HB;Asset;Advertisement;Core Set;2;0;3
Aggressive Secretary;HB;Asset;Ambush;Core Set;2;0;3
Archived Memories;HB;Operation;;Core Set;2;0;3
Biotic Labor;HB;Operation;;Core Set;4;0;3
Shipment from MirrorMorph;HB;Operation;;Core Set;2;0;3
Heimdall 1.0;HB;ICE;Barrier/Bioroid/AP;Core Set;2;0;3
Ichi 1.0;HB;ICE;Sentry/Bioroid/Tracer/Destroyer;Core Set;2;0;3
Viktor 1.0;HB;ICE;Code Gate/Bioroid/AP;Core Set;2;0;3
Rototurret;HB;ICE;Sentry/Destroyer;Core Set;1;0;3
Corporate Troubleshooter;HB;Upgrade;Connection;Core Set;1;0;3
Experiential Data;HB;Upgrade;;Core Set;1;0;3
